Borough CD,Year,Average AQI
211,2010,15.45
211,2011,16.15
211,2012,14.8
211,2013,13.85
211,2014,14.15
211,2015,14.25
211,2016,12.65
211,2017,13.2
211,2018,12.1
211,2019,11.1
211,2020,11.4
211,2021,11.45
211,2022,10.75
212,2009,16.48
212,2010,14.85
212,2011,15.7
212,2012,14.45
212,2013,13.48
212,2014,13.87
212,2015,14.22
212,2016,12.43
212,2017,13.1
212,2018,11.53
212,2019,10.62
212,2020,11.33
212,2021,11.18
212,2022,10.67
301,2009,19.38
301,2010,17.85
301,2011,18.55
301,2012,16.81
301,2013,16.3
301,2014,16.28
301,2015,15.85
301,2016,15.18
301,2017,14.85
301,2018,15.04
301,2019,14.45
301,2020,13.04
301,2021,13.74
301,2022,12.24
302,2009,20.12
302,2010,18.6
302,2011,18.98
302,2012,17.08
302,2013,16.58
302,2014,16.47
302,2015,15.97
302,2016,15.37
302,2017,14.83
302,2018,14.48
302,2019,13.65
302,2020,12.52
302,2021,12.95
302,2022,12.28
303,2009,19.2
303,2010,17.8
303,2011,18.15
303,2012,16.35
303,2013,15.8
303,2014,15.75
303,2015,15.15
303,2016,14.45
303,2017,14.1
303,2018,13.7
303,2019,12.5
303,2020,11.9
303,2021,12.35
303,2022,11.35
304,2009,18.95
304,2010,17.53
304,2011,18.07
304,2012,16.3
304,2013,15.78
304,2014,15.75
304,2015,15.18
304,2016,14.48
304,2017,14.22
304,2018,14.2
304,2019,13.28
304,2020,12.4
304,2021,12.8
304,2022,11.75
305,2009,17.15
305,2010,16.05
305,2011,16.4
305,2012,14.72
305,2013,14.38
305,2014,14.32
305,2015,13.83
305,2016,12.95
305,2017,12.83
305,2018,12.27
305,2019,11.12
305,2020,10.82
305,2021,11.27
305,2022,10.62
306,2009,19.82
306,2010,18.4
306,2011,18.75
306,2012,16.83
306,2013,16.32
306,2014,16.23
306,2015,15.82
306,2016,15.22
306,2017,14.67
306,2018,14.53
306,2019,13.77
306,2020,12.48
306,2021,12.92
306,2022,12.12
307,2009,18.2
307,2010,17.05
307,2011,17.38
307,2012,15.38
307,2013,14.88
307,2014,14.93
307,2015,14.63
307,2016,13.88
307,2017,13.53
307,2018,13.73
307,2019,12.92
307,2020,11.67
307,2021,12.52
307,2022,11.77
308,2009,19.0
308,2010,17.68
308,2011,17.93
308,2012,16.12
308,2013,15.63
308,2014,15.58
308,2015,14.93
308,2016,14.15
308,2017,13.87
308,2018,13.43
308,2019,12.25
308,2020,11.7
308,2021,11.93
308,2022,11.15
309,2009,18.8
309,2010,17.6
309,2011,17.7
309,2012,15.9
309,2013,15.35
309,2014,15.35
309,2015,14.75
309,2016,13.95
309,2017,13.7
309,2018,13.1
309,2019,11.85
309,2020,11.5
309,2021,11.75
309,2022,10.55
310,2009,16.43
310,2010,15.53
310,2011,15.9
310,2012,14.12
310,2013,13.58
310,2014,13.97
310,2015,13.5
310,2016,12.62
310,2017,12.52
310,2018,11.95
310,2019,11.1
310,2020,10.45
310,2021,11.28
310,2022,10.15
311,2009,16.27
311,2010,15.42
311,2011,15.73
311,2012,14.02
311,2013,13.47
311,2014,13.95
311,2015,13.42
311,2016,12.48
311,2017,12.47
311,2018,11.83
311,2019,10.98
311,2020,10.45
311,2021,11.27
311,2022,9.93
312,2009,17.55
312,2010,16.5
312,2011,16.7
312,2012,14.9
312,2013,14.35
312,2014,14.65
312,2015,14.05
312,2016,13.2
312,2017,13.05
312,2018,12.55
312,2019,11.5
312,2020,10.95
312,2021,11.55
312,2022,10.35
313,2009,13.9
313,2010,13.25
313,2011,13.55
313,2012,12.1
313,2013,11.55
313,2014,12.45
313,2015,11.85
313,2016,10.65
313,2017,10.95
313,2018,10.05
313,2019,9.5
313,2020,9.35
313,2021,10.2
313,2022,9.1
314,2009,17.8
314,2010,16.7
314,2011,16.9
314,2012,15.1
314,2013,14.6
314,2014,14.75
314,2015,14.15
314,2016,13.25
314,2017,13.1
314,2018,12.45
314,2019,11.3
314,2020,11.05
314,2021,11.4
314,2022,10.3
315,2009,14.83
315,2010,14.02
315,2011,14.28
315,2012,12.82
315,2013,12.32
315,2014,13.07
315,2015,12.47
315,2016,11.25
315,2017,11.52
315,2018,10.5
315,2019,9.78
315,2020,9.78
315,2021,10.53
315,2022,9.25
316,2009,18.2
316,2010,17.0
316,2011,17.25
316,2012,15.5
316,2013,15.1
316,2014,15.05
316,2015,14.5
316,2016,13.65
316,2017,13.45
316,2018,13.1
316,2019,11.85
316,2020,11.45
316,2021,11.6
316,2022,10.85
317,2009,17.82
317,2010,16.72
317,2011,16.9
317,2012,15.13
317,2013,14.63
317,2014,14.77
317,2015,14.18
317,2016,13.28
317,2017,13.13
317,2018,12.5
317,2019,11.33
317,2020,11.07
317,2021,11.43
317,2022,10.37
318,2009,15.05
318,2010,14.12
318,2011,14.38
318,2012,12.82
318,2013,12.45
318,2014,12.77
318,2015,12.32
318,2016,11.22
318,2017,11.32
318,2018,10.6
318,2019,9.63
318,2020,9.73
318,2021,10.28
318,2022,9.37
401,2009,18.58
401,2010,16.95
401,2011,17.87
401,2012,16.2
401,2013,15.68
401,2014,15.77
401,2015,15.35
401,2016,14.52
401,2017,14.47
401,2018,14.18
401,2019,13.67
401,2020,12.58
401,2021,12.75
401,2022,11.65
402,2009,18.9
402,2010,17.35
402,2011,18.3
402,2012,16.65
402,2013,16.1
402,2014,16.2
402,2015,15.75
402,2016,15.05
402,2017,14.8
402,2018,14.85
402,2019,14.55
402,2020,13.1
402,2021,13.9
402,2022,12.45
403,2009,17.95
403,2010,16.6
403,2011,17.3
403,2012,15.7
403,2013,15.0
403,2014,15.2
403,2015,14.65
403,2016,13.8
403,2017,13.85
403,2018,13.0
403,2019,12.15
403,2020,11.7
403,2021,11.75
403,2022,10.75
404,2009,18.8
404,2010,17.55
404,2011,18.1
404,2012,16.45
404,2013,15.85
404,2014,16.0
404,2015,15.3
404,2016,14.45
404,2017,14.4
404,2018,13.55
404,2019,12.55
404,2020,12.0
404,2021,12.1
404,2022,11.25
405,2009,17.3
405,2010,16.08
405,2011,16.68
405,2012,14.97
405,2013,14.47
405,2014,14.52
405,2015,13.98
405,2016,13.23
405,2017,13.08
405,2018,12.62
405,2019,11.62
405,2020,11.07
405,2021,11.58
405,2022,10.63
406,2009,17.43
406,2010,16.25
406,2011,16.8
406,2012,15.08
406,2013,14.57
406,2014,14.62
406,2015,14.02
406,2016,13.23
406,2017,13.12
406,2018,12.52
406,2019,11.42
406,2020,10.9
406,2021,11.2
406,2022,10.5
407,2009,16.45
