Borough CD,Year,Average AQI
211,2010,21.33
211,2011,20.8
211,2012,20.57
211,2013,18.9
211,2014,18.43
211,2015,18.6
211,2016,18.57
211,2017,17.6
211,2018,17.63
211,2019,16.9
211,2020,17.13
211,2021,17.17
211,2022,17.13
212,2009,18.27
212,2010,21.17
212,2011,20.58
212,2012,20.44
212,2013,18.66
212,2014,18.44
212,2015,18.4
212,2016,18.5
212,2017,17.48
212,2018,17.48
212,2019,16.69
212,2020,16.97
212,2021,17.06
212,2022,16.9
301,2009,20.09
301,2010,22.37
301,2011,21.89
301,2012,21.23
301,2013,20.1
301,2014,19.33
301,2015,19.51
301,2016,19.6
301,2017,18.57
301,2018,18.58
301,2019,18.73
301,2020,17.17
301,2021,18.03
301,2022,17.8
302,2009,20.04
302,2010,22.12
302,2011,21.38
302,2012,20.72
302,2013,19.71
302,2014,19.04
302,2015,19.19
302,2016,19.5
302,2017,18.23
302,2018,17.94
302,2019,18.12
302,2020,16.4
302,2021,17.44
302,2022,17.56
303,2009,19.57
303,2010,21.77
303,2011,21.27
303,2012,20.6
303,2013,19.63
303,2014,18.7
303,2015,18.93
303,2016,19.0
303,2017,17.97
303,2018,17.7
303,2019,17.7
303,2020,16.1
303,2021,17.17
303,2022,17.27
304,2009,19.79
304,2010,22.11
304,2011,21.67
304,2012,20.97
304,2013,19.96
304,2014,19.02
304,2015,19.16
304,2016,19.17
304,2017,18.19
304,2018,18.1
304,2019,18.21
304,2020,16.61
304,2021,17.59
304,2022,17.57
305,2009,18.77
305,2010,21.24
305,2011,20.97
305,2012,20.24
305,2013,19.4
305,2014,18.22
305,2015,18.64
305,2016,18.53
305,2017,17.78
305,2018,17.36
305,2019,17.53
305,2020,15.59
305,2021,16.71
305,2022,17.22
306,2009,19.97
306,2010,22.03
306,2011,21.29
306,2012,20.61
306,2013,19.62
306,2014,18.97
306,2015,19.13
306,2016,19.49
306,2017,18.19
306,2018,17.94
306,2019,18.21
306,2020,16.4
306,2021,17.47
306,2022,17.52
307,2009,19.48
307,2010,21.58
307,2011,20.91
307,2012,20.1
307,2013,19.06
307,2014,18.46
307,2015,18.78
307,2016,19.1
307,2017,17.74
307,2018,17.57
307,2019,17.97
307,2020,16.01
307,2021,17.22
307,2022,17.62
308,2009,19.53
308,2010,21.74
308,2011,21.2
308,2012,20.51
308,2013,19.57
308,2014,18.61
308,2015,18.91
308,2016,18.91
308,2017,17.91
308,2018,17.58
308,2019,17.64
308,2020,15.94
308,2021,16.91
308,2022,17.22
309,2009,19.5
309,2010,21.63
309,2011,21.13
309,2012,20.4
309,2013,19.43
309,2014,18.53
309,2015,18.8
309,2016,18.83
309,2017,17.8
309,2018,17.4
309,2019,17.53
309,2020,15.8
309,2021,16.87
309,2022,17.1
310,2009,18.87
310,2010,21.02
310,2011,20.69
310,2012,19.76
310,2013,18.42
310,2014,17.83
310,2015,18.38
310,2016,18.56
310,2017,17.14
310,2018,16.76
310,2019,17.2
310,2020,15.41
310,2021,16.52
310,2022,17.2
311,2009,18.9
311,2010,21.07
311,2011,20.79
311,2012,19.87
311,2013,18.49
311,2014,17.86
311,2015,18.46
311,2016,18.52
311,2017,17.19
311,2018,16.8
311,2019,17.27
311,2020,15.53
311,2021,16.59
311,2022,17.23
312,2009,19.2
312,2010,21.3
312,2011,20.87
312,2012,20.1
312,2013,18.83
312,2014,18.13
312,2015,18.63
312,2016,18.63
312,2017,17.43
312,2018,17.07
312,2019,17.37
312,2020,15.6
312,2021,16.73
312,2022,17.17
313,2009,18.23
313,2010,20.47
313,2011,20.47
313,2012,19.6
313,2013,17.9
313,2014,17.27
313,2015,18.17
313,2016,17.83
313,2017,16.73
313,2018,16.4
313,2019,16.93
313,2020,15.5
313,2021,16.13
313,2022,17.23
314,2009,19.23
314,2010,21.37
314,2011,20.97
314,2012,20.2
314,2013,19.13
314,2014,18.23
314,2015,18.67
314,2016,18.6
314,2017,17.6
314,2018,17.2
314,2019,17.37
314,2020,15.67
314,2021,16.63
314,2022,17.1
315,2009,18.41
315,2010,20.64
315,2011,20.63
315,2012,19.77
315,2013,18.23
315,2014,17.48
315,2015,18.31
315,2016,17.91
315,2017,16.96
315,2018,16.51
315,2019,16.98
315,2020,15.42
315,2021,16.17
315,2022,17.1
316,2009,19.33
316,2010,21.63
316,2011,21.27
316,2012,20.53
316,2013,19.6
316,2014,18.57
316,2015,18.9
316,2016,18.77
316,2017,17.93
316,2018,17.6
316,2019,17.67
316,2020,15.87
316,2021,16.8
316,2022,17.27
317,2009,19.24
317,2010,21.4
317,2011,21.01
317,2012,20.24
317,2013,19.2
317,2014,18.28
317,2015,18.71
317,2016,18.64
317,2017,17.66
317,2018,17.26
317,2019,17.41
317,2020,15.68
317,2021,16.67
317,2022,17.13
318,2009,18.29
318,2010,20.6
318,2011,20.43
318,2012,19.66
318,2013,18.54
318,2014,17.52
318,2015,18.16
318,2016,17.86
318,2017,17.09
318,2018,16.7
318,2019,16.99
318,2020,15.2
318,2021,16.14
318,2022,16.87
401,2009,19.72
401,2010,22.11
401,2011,21.77
401,2012,21.19
401,2013,19.79
401,2014,18.93
401,2015,19.4
401,2016,19.32
401,2017,18.38
401,2018,18.32
401,2019,18.26
401,2020,17.56
401,2021,17.79
401,2022,17.69
402,2009,19.97
402,2010,22.37
402,2011,22.07
402,2012,21.4
402,2013,20.1
