Borough CD,Year,Average AQI
211,2010,17.05
211,2011,20.35
211,2012,16.0
211,2013,16.75
211,2014,18.75
211,2015,16.75
211,2016,14.95
211,2017,17.3
211,2018,15.45
211,2019,13.7
211,2020,14.7
211,2021,13.05
211,2022,14.4
212,2009,20.57
212,2010,16.35
212,2011,19.6
212,2012,15.47
212,2013,16.37
212,2014,18.28
212,2015,16.63
212,2016,14.68
212,2017,17.15
212,2018,14.63
212,2019,13.07
212,2020,14.22
212,2021,12.68
212,2022,14.25
301,2009,23.54
301,2010,19.41
301,2011,23.23
301,2012,18.63
301,2013,19.58
301,2014,21.66
301,2015,18.63
301,2016,17.72
301,2017,17.86
301,2018,18.92
301,2019,17.47
301,2020,18.78
301,2021,16.19
301,2022,15.52
302,2009,24.05
302,2010,20.07
302,2011,23.52
302,2012,18.87
302,2013,19.75
302,2014,21.52
302,2015,18.6
302,2016,17.82
302,2017,17.47
302,2018,18.27
302,2019,16.43
302,2020,18.68
302,2021,15.6
302,2022,15.38
303,2009,23.4
303,2010,19.55
303,2011,22.8
303,2012,18.1
303,2013,18.95
303,2014,20.95
303,2015,17.95
303,2016,17.05
303,2017,17.25
303,2018,17.7
303,2019,15.5
303,2020,18.05
303,2021,15.2
303,2022,14.7
304,2009,23.35
304,2010,19.45
304,2011,22.97
304,2012,18.23
304,2013,19.12
304,2014,21.23
304,2015,18.07
304,2016,17.12
304,2017,17.4
304,2018,18.25
304,2019,16.4
304,2020,18.3
304,2021,15.57
304,2022,15.25
305,2009,21.55
305,2010,18.32
305,2011,21.15
305,2012,16.45
305,2013,17.62
305,2014,19.6
305,2015,17.0
305,2016,15.78
305,2017,16.45
305,2018,16.28
305,2019,14.32
305,2020,16.38
305,2021,14.48
305,2022,13.95
306,2009,23.77
306,2010,19.92
306,2011,23.37
306,2012,18.67
306,2013,19.57
306,2014,21.3
306,2015,18.47
306,2016,17.7
306,2017,17.32
306,2018,18.33
306,2019,16.57
306,2020,18.55
306,2021,15.58
306,2022,15.32
307,2009,21.93
307,2010,19.08
307,2011,22.1
307,2012,17.17
307,2013,18.33
307,2014,20.17
307,2015,17.53
307,2016,16.55
307,2017,16.33
307,2018,17.57
307,2019,15.67
307,2020,17.33
307,2021,15.35
307,2022,15.22
308,2009,23.18
308,2010,19.7
308,2011,22.6
308,2012,17.85
308,2013,18.83
308,2014,20.73
308,2015,17.82
308,2016,16.87
308,2017,17.1
308,2018,17.47
308,2019,15.28
308,2020,17.8
308,2021,15.0
308,2022,14.5
309,2009,22.95
309,2010,19.7
309,2011,22.45
